Decision,Reason,Implication,Date,Category,Author,Version
Use environment-driven GA4 integration rather than hardcoding analytics in index.html,The app already uses Vite env variables and runtime analytics injection,Analytics only runs when VITE_GA_MEASUREMENT_ID is present at build time and can be cleanly disabled otherwise,04/20/2026,Analytics,MH,V1
Keep READiscover branded away from AI positioning,The product is a storytelling/media format and AI branding would misframe it publicly,Avoid .ai domain choices and treat AI as optional internal tooling rather than front-facing identity,04/18/2026,Brand,MH,V1
Use publication-first strategy rather than trying to become a platform immediately,Limited resources and need to prove the format before scaling to outside creators,Focus remains on flagship stories and repeatable editorial system before creator tooling or marketplace ambitions,04/08/2026,Strategy,MH,V1
Adopt 3-layer media signaling system,Users were not clearly realizing when segments contained playback-cued media or when media was about to appear,"READiscover will signal media at the segment layer, timeline layer, and active cue layer",04/24/2026,UX/UI,MH,V2
Use vertical segment-level media indicators instead of inline prose icons,"Inline icons could interrupt reading flow, while a structural rail preserves story-first layout",Segments with media will show gold iconographic markers attached to the segment structure,04/24/2026,UX/UI,MH,V2
Add clickable media markers to playback progress bar,Users need to see that media moments are coming and should be able to jump directly to them,Progress bar becomes both transport control and media anticipation layer,04/24/2026,UX/UI,MH,V2
Use tasteful active-cue interruption when media fires,Media currently risks appearing too quietly and being missed by users,"Active media cues will trigger subtle state shift, entrance animation, and temporary explanatory label",04/24/2026,UX/UI,MH,V2
Support GIFs as first-class READiscover media cues,"GIFs and memes may strengthen voice, pacing, branding, and cultural/contextual storytelling","Media cue system should handle GIFs alongside charts, images, and other visual assets",04/24/2026,Product,MH,V2
Prioritize mobile media presence and discoverability before CMS or word-level sync,Current biggest product risk is users not realizing how rich the experience is early enough,Next development phase focuses on media signaling and mobile clarity rather than new authoring tools,04/24/2026,Strategy,MH,V2
Defer mobile overlay redesign until media signaling system is tested,"Overlay behavior depends on knowing how segment icons, progress markers, and cue activation work together",Mobile layout changes will be evaluated after first three media-discovery layers are implemented,04/24/2026,UX/UI,MH,V2
Defer word-level playback UI while preserving it as long-term goal,Word-level sync remains important but could distract from immediate clarity and discoverability work,"V2 refinement will not implement word-level highlighting yet, but future architecture should avoid blocking it",04/24/2026,Product,MH,V2
Add tutorial-only visual demos for unavailable interactive states,Tutorial steps were pointing to empty or inactive UI when the real feature surfaces were not available yet,Tutorial can teach text/media/inspect concepts without mutating playback or story state,04/24/2026,UX/UI,MH,V2
Route pointer-activated controls back toward playback keyboard behavior,Spacebar could re-trigger focused buttons or scroll the page instead of toggling playback,Normal playback interaction keeps Space as a playback shortcut unless typing or intentionally keyboard-focused,04/24/2026,UX/UI,MH,V2
Allow mobile media peeks to reappear on replay or seek,Mobile previews felt buggy because they appeared once and were permanently suppressed,Users can revisit media cues and still receive the intended visual signal,04/24/2026,UX/UI,MH,V2
Add visible affordance to media progress markers,Clickable gold dots worked but did not clearly communicate their purpose,"Progress markers now better signal synced media jump points through labels, states, and expanded-control hints",04/24/2026,UX/UI,MH,V2
Rename vague playback and media actions,User-facing labels like Open and Inspect reflected implementation concepts more than user intent,"Controls and media actions now use clearer language such as Controls, View chart, View media, and Visual cue",04/24/2026,UX/UI,MH,V2
Group segment rail media indicators by type and continuation context,Per-segment markers created clutter and failed to represent media attached to continuation segments,Media rails now better summarize media presence across connected preview segments while reducing duplicated indicators,04/24/2026,UX/UI,MH,V2
Normalize legacy inline media behavior with timeline media cues,Older hyperlinked GIF/image interactions could linger or conflict with active playback-cued media,Inline media now participates more consistently in the active media priority model,04/24/2026,Engineering,MH,V2
Add dev-only media debug HUD,"Manual UX review needed reliable visibility into playback time, active segment, active cue, and upcoming cue state",Reviewers can use ?debug=media to capture and debug temporal media behavior without mutating story state,04/24/2026,Workflow,MH,V2
Defer hero-area media cue demonstration,"Review found that sync is not obvious until body text, but this pass focused on urgent tutorial/media/control fixes",Hero or pre-body media cue strategy remains open for a future first-minute experience pass,04/24/2026,Product,MH,V2
Defer full playback control redesign,Immediate label improvements helped but the expanded playback panel still needs a dedicated clarity pass,Transport controls remain functional while broader player information architecture is handled separately,04/24/2026,UX/UI,MH,V2
Plan a future Context Layer for people characters sources glossary notes and other lightweight references,READiscover can add value across journalism fiction poetry podcasting and branded media by surfacing quick context without forcing users to leave the story,Future media/context architecture should distinguish story-native media from lightweight context cards and support optional mention-triggered previews later in the roadmap,04/30/2026,Product,MH,V2 Roadmap
Distinguish story-native media context cards source cards and sponsored media as separate future layers,Charts GIFs citations biographies and ads serve different purposes and should not share the same visual or interaction treatment,READiscover’s future media model should support layer or intent metadata so each kind of companion object can be displayed with appropriate priority and visual weight,04/30/2026,Product,MH,V2 Roadmap
Add dedicated Codebase Tutor agent for explanatory documentation,The project owner needs to understand and maintain a growing AI-assisted codebase without relying on sparse or overly technical comments,A recurring documentation agent will add generous plain-English comments and architecture notes for significant files while avoiding behavior changes and unnecessary line-by-line noise,04/30/2026,Workflow,MH,V2
Make mini-player progress track section-local,Filtering media markers to the current preview while keeping the track scaled to the full story created a misleading mostly empty progress bar,"The mini-player timeline should use the same current-section scope as its visible media markers, while expanded controls can preserve full-story navigation",05/01/2026,UX/UI,MH,V2
"Plan future distinction between story-native media, source previews, utility context, and sponsored media",External source previews and ads could add credibility and monetization but may distract from story flow if treated like native media,Future media cue architecture should support distinct layers or intents without implementing source previews or ads in the current prototype,04/30/2026,Product,MH,V2 Roadmap
Increase prominence of section-scoped mini-player media markers,"After switching the mini-player timeline to current-section scope, the small number of remaining cue markers can be made more visible without cluttering the player","Section-local media indicators should become larger, more legible, and easier to tap while remaining visually distinct from the playhead",05/01/2026,UX/UI,MH,V2
Add always-visible previous/next section controls to the mini-player,Users may not clearly realize READiscover can be browsed chapter-by-chapter and not only through linear playback or scrubbing,"The compact mini-player should expose logical section navigation directly, with previous/next controls that move between team previews rather than raw audio clips",05/01/2026,UX/UI,MH,V2
Reframe audio as major but optional in READiscover,"Current prototype shows that timed playback, text progression, and media choreography can create value even without narration",READiscover should be treated as a timeline-driven storytelling medium where audio is one powerful mode rather than a required foundation,05/01/2026,Product,MH,V2 Roadmap
Adopt playback-directed reading as the deeper product principle,"The original audio-synced reading concept has evolved into a broader system where timeline state can guide text, media, charts, and context with or without audio",Product language and future schema should emphasize playable/timeline-driven reading rather than audio-first articles,05/01/2026,Product,MH,V2 Roadmap
Position READiscovermedia.com as a simple landing page before full platform launch,"The custom domain should explain the medium and feature demos without forcing premature CMS, accounts, subscriptions, or revenue infrastructure","Initial READiscovermedia.com should focus on positioning, demo links, creator collaboration, and roadmap language",05/02/2026,Strategy,MH,V2/V3
Adopt reading revival platform language for public positioning,The 2016 dossier framed READiscover as a way to preserve and reinvent reading in a media environment dominated by more sensory formats,"Public messaging should center playable reading, written stories that move, and the Story Theater rather than generic immersive storytelling",05/02/2026,Brand,MH,V2/V3
Keep AI assistive rather than authorial in READiscover positioning,"AI can help with timing, media suggestions, context cards, accessibility, and CMS workflows but should not displace the writer’s authority or become the product identity",READiscover should be publicly positioned as a storytelling medium while AI remains optional creator infrastructure,05/02/2026,Product,MH,V2 Roadmap
Use existing repeatability architecture rather than rebuilding multi-story foundation,"Codex already added story registry, packaged story structure, slug routes, default story handling, and add-a-new-story documentation",Next story work should validate the architecture with a real second story instead of repeating foundational routing/registry work,05/03/2026,Engineering,MH,V2
Use Wolves-Nuggets reaction as first second-story test of repeatable architecture,The repeatability pass needs to be validated with a real standalone story that differs from the flagship playoff preview,A new Wolves reaction story should be its own READiscover story package rather than merged into the playoff preview or launched first on READiscovermedia.com,05/03/2026,Product,MH,V2
Host the Wolves-Nuggets reaction first on existing GH Pages/Hanson Hoops READiscover path,The current deployment surface is already working while READiscovermedia.com is not yet built,The second story should launch as a standalone GitHub Pages READiscover route and later be featured or mirrored from READiscovermedia.com,05/03/2026,Deployment,MH,V2
Finish a buildable story draft before tasking Codex with the second-story package,"READiscover story structure depends on text order, section breaks, pacing, cue moments, and media placement",Codex should receive a solid draft and media cue map rather than inventing placeholder story structure too early,05/03/2026,Workflow,MH,V2
Reuse relevant Timberwolves preview media in the Wolves-Nuggets reaction story,"Original preview media remains relevant and the first demo had limited exposure, making reuse efficient and editorially defensible",The second story can test repeatability by reusing existing GIFs/charts while adding only 1-2 new or replacement charts as needed,05/03/2026,Content Strategy,MH,V2
Use the Wolves-Nuggets reaction to test shorter personal essay mode,"The flagship playoff preview is long, multi-section, and chart-heavy; the format also needs to prove itself on shorter emotional/editorial pieces",The Wolves story should test READiscover as a personal sports essay with lighter media density and possibly audio-optional playback,05/03/2026,Product,MH,V2/V3
Explore Mobile Theater Mode as an alternative to scroll-first mobile reading,Current mobile layout still feels too much like a cluttered article page with playback controls layered on top,READiscover should test a mobile-specific split/focus mode that centers the currently playing text and current media while preserving full-scroll reading as an option,05/03/2026,UX/UI,MH,V3 Roadmap
Keep companion media stage populated with meaningful resting content,"Blank gaps between active media cues make the media system feel inactive or unfinished, especially on mobile","When no active cue is present, the media area should fall back to section identity, upcoming context, or story atmosphere rather than empty space",05/03/2026,UX/UI,MH,V2/V3
Plan three mobile focus levels for READiscover,Mobile needs a native interaction model that lets users move between immersive playback and traditional skimming without abandoning either experience,"READiscover should explore Theater, Focus/Hybrid, and Read modes, with pinch gestures changing focus level and visible controls as fallback navigation",05/03/2026,UX/UI,MH,V3 Roadmap
Treat pinch gestures as focus-mode controls rather than browser zoom,Mobile READiscover can use familiar pinch metaphors to change the scope of the story experience instead of merely scaling text,"Pinch in/out should eventually transition between Theater, Focus/Hybrid, and Read modes while playback continues unless inspect mode is opened",05/03/2026,UX/UI,MH,V3 Roadmap
Preserve full-scroll reading alongside future Mobile Theater Mode,"Some users need skimming, searching, and traditional article navigation even if Theater Mode becomes the richer playback experience",Mobile redesign should add a focused playback mode without eliminating conventional read mode,05/03/2026,UX/UI,MH,V3 Roadmap
Default to fresh Codex threads for each coherent implementation pass,Long Codex threads can accumulate stale context and encourage changes outside the intended scope,"Use one Codex thread per focused work unit, with same-thread follow-up only for immediate fixes to that work",05/03/2026,Workflow,MH,V2
Use planning thread → Codex pass → triage/decision log loop for READiscover development,The project is increasingly agentic and needs a stable operating rhythm to avoid losing product coherence,"Continue using this thread for strategy, fresh Codex threads for scoped implementation, and Sheets/docs for institutional memory",05/03/2026,Workflow,MH,V2
Plan Story Theater as named product concept for READiscovermedia.com,The Story Theater language ties the current product to the 2016 dossier and explains the playback/media experience better than generic article language,Site copy and product docs should consistently use Story Theater for the core playable reading environment,05/03/2026,Brand,MH,V2/V3
Add optional context layer language to READiscovermedia.com roadmap,"Context cards, source previews, people/character cards, and glossary notes are emerging as important future differentiators",The landing page can mention context layers lightly as future-facing capability without promising implementation in the current prototype,05/03/2026,Product,MH,V3 Roadmap
Use one flagship story plus one shorter second story before prioritizing full READiscovermedia.com launch,A single demo is useful but a second story proves the format is repeatable across modes and tones,READiscovermedia.com becomes more credible once it can point to both the NBA preview and a second standalone story,05/03/2026,Strategy,MH,V2/V3
